분류종류,분류차순정보,분류범위,신분류코드,신분류항목명,구분류코드,구분류항목명
KSIC,11,1,A,"농업, 임업 및 어업(01~03)",A,"농업, 임업 및 어업(01~03)"
KSIC,11,1,B,광업(05~08),B,광업(05~08)
KSIC,11,1,C,제조업(10~34),C,제조업(10~34)
KSIC,11,1,D,"전기, 가스, 증기 및 공기조절 공급업(35)",D,"전기, 가스, 증기 및 공기조절 공급업(35)"
KSIC,11,1,E,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",E,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)"
KSIC,11,1,F,건설업(41~42),F,건설업(41~42)
KSIC,11,1,G,도매 및 소매업(45~47),G,도매 및 소매업(45~47)
KSIC,11,1,H,운수 및 창고업(49~52),H,운수 및 창고업(49~52)
KSIC,11,1,I,숙박 및 음식점업(55~56),I,숙박 및 음식점업(55~56)
KSIC,11,1,J,정보통신업(58~63),J,정보통신업(58~63)
KSIC,11,1,K,금융 및 보험업(64~66),K,금융 및 보험업(64~66)
KSIC,11,1,L,부동산업(68),L,부동산업(68)
KSIC,11,1,M,"전문, 과학 및 기술 서비스업(70~73)",M,"전문, 과학 및 기술 서비스업(70~73)"
KSIC,11,1,N,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",N,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)"
KSIC,11,1,O,"공공행정, 국방 및 사회보장 행정(84)",K,금융 및 보험업(64~66)
KSIC,11,1,O,"공공행정, 국방 및 사회보장 행정(84)",O,"공공행정, 국방 및 사회보장 행정(84)"
KSIC,11,1,P,교육 서비스업(85),P,교육 서비스업(85)
KSIC,11,1,Q,보건업 및 사회복지 서비스업(86~87),Q,보건업 및 사회복지 서비스업(86~87)
KSIC,11,1,R,"예술, 스포츠 및 여가관련 서비스업(90~91)",R,"예술, 스포츠 및 여가관련 서비스업(90~91)"
KSIC,11,1,S,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",S,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
KSIC,11,1,T,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98),T,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)
KSIC,11,1,U,국제 및 외국기관(99),U,국제 및 외국기관(99)
KSIC,11,2,1,농업,1,농업
KSIC,11,2,2,임업,2,임업
KSIC,11,2,3,어업,3,어업
KSIC,11,2,5,"석탄, 원유 및 천연가스 광업",5,"석탄, 원유 및 천연가스 광업"
KSIC,11,2,6,금속 광업,6,금속 광업
KSIC,11,2,7,비금속광물 광업; 연료용 제외,7,비금속광물 광업; 연료용 제외
KSIC,11,2,8,광업 지원 서비스업,8,광업 지원 서비스업
KSIC,11,2,10,식료품 제조업,10,식료품 제조업
KSIC,11,2,11,음료 제조업,11,음료 제조업
KSIC,11,2,12,담배 제조업,12,담배 제조업
KSIC,11,2,13,섬유제품 제조업; 의복제외,13,섬유제품 제조업; 의복제외
KSIC,11,2,14,"의복, 의복 액세서리 및 모피제품 제조업",14,"의복, 의복 액세서리 및 모피제품 제조업"
KSIC,11,2,15,"가죽, 가방 및 신발 제조업",15,"가죽, 가방 및 신발 제조업"
KSIC,11,2,16,목재 및 나무제품 제조업; 가구 제외,16,목재 및 나무제품 제조업; 가구 제외
KSIC,11,2,17,"펄프, 종이 및 종이제품 제조업",17,"펄프, 종이 및 종이제품 제조업"
KSIC,11,2,18,인쇄 및 기록매체 복제업,18,인쇄 및 기록매체 복제업
KSIC,11,2,19,"코크스, 연탄 및 석유정제품 제조업",19,"코크스, 연탄 및 석유정제품 제조업"
KSIC,11,2,20,화학물질 및 화학제품 제조업; 의약품 제외,20,화학물질 및 화학제품 제조업; 의약품 제외
KSIC,11,2,21,의료용 물질 및 의약품 제조업,21,의료용 물질 및 의약품 제조업
KSIC,11,2,21,의료용 물질 및 의약품 제조업,20,화학물질 및 화학제품 제조업; 의약품 제외
KSIC,11,2,22,고무 및 플라스틱제품 제조업,22,고무 및 플라스틱제품 제조업
KSIC,11,2,23,비금속 광물제품 제조업,23,비금속 광물제품 제조업
KSIC,11,2,24,1차 금속 제조업,24,1차 금속 제조업
KSIC,11,2,25,금속가공제품 제조업; 기계 및 가구 제외,25,금속가공제품 제조업; 기계 및 가구 제외
KSIC,11,2,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
KSIC,11,2,27,"의료, 정밀, 광학기기 및 시계 제조업",27,"의료, 정밀, 광학기기 및 시계 제조업"
KSIC,11,2,28,전기장비 제조업,28,전기장비 제조업
KSIC,11,2,29,기타 기계 및 장비 제조업,29,기타 기계 및 장비 제조업
KSIC,11,2,30,자동차 및 트레일러 제조업,30,자동차 및 트레일러 제조업
KSIC,11,2,31,기타 운송장비 제조업,31,기타 운송장비 제조업
KSIC,11,2,32,가구 제조업,32,가구 제조업
KSIC,11,2,33,기타 제품 제조업,33,기타 제품 제조업
KSIC,11,2,34,산업용 기계 및 장비 수리업,34,산업용 기계 및 장비 수리업
KSIC,11,2,35,"전기, 가스, 증기 및 공기조절 공급업",35,"전기, 가스, 증기 및 공기조절 공급업"
KSIC,11,2,36,수도업,36,수도업
KSIC,11,2,37,"하수, 폐수 및 분뇨 처리업",37,"하수, 폐수 및 분뇨 처리업"
KSIC,11,2,38,"폐기물 수집, 운반, 처리 및 원료 재생업",38,"폐기물 수집, 운반, 처리 및 원료 재생업"
KSIC,11,2,39,환경 정화 및 복원업,39,환경 정화 및 복원업
KSIC,11,2,41,종합 건설업,41,종합 건설업
KSIC,11,2,42,전문직별 공사업,42,전문직별 공사업
KSIC,11,2,45,자동차 및 부품 판매업,45,자동차 및 부품 판매업
KSIC,11,2,46,도매 및 상품 중개업,46,도매 및 상품 중개업
KSIC,11,2,47,소매업; 자동차 제외,47,소매업; 자동차 제외
KSIC,11,2,49,육상운송 및 파이프라인 운송업,49,육상운송 및 파이프라인 운송업
KSIC,11,2,50,수상 운송업,50,수상 운송업
KSIC,11,2,51,항공 운송업,51,항공 운송업
KSIC,11,2,52,창고 및 운송관련 서비스업,52,창고 및 운송관련 서비스업
KSIC,11,2,55,숙박업,55,숙박업
KSIC,11,2,56,음식점 및 주점업,56,음식점 및 주점업
KSIC,11,2,58,출판업,58,출판업
KSIC,11,2,59,영상ㆍ오디오 기록물 제작 및 배급업,59,영상ㆍ오디오 기록물 제작 및 배급업
KSIC,11,2,60,방송 및 영상·오디오물 제공 서비스업,60,방송업
KSIC,11,2,60,방송 및 영상·오디오물 제공 서비스업,63,정보서비스업
KSIC,11,2,61,우편 및 통신업,61,우편 및 통신업
KSIC,11,2,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
KSIC,11,2,63,정보서비스업,63,정보서비스업
KSIC,11,2,64,금융업,64,금융업
KSIC,11,2,65,보험업,65,보험 및 연금업
KSIC,11,2,66,금융 및 보험 관련 서비스업,66,금융 및 보험 관련 서비스업
KSIC,11,2,68,부동산업,68,부동산업
KSIC,11,2,70,연구개발업,70,연구개발업
KSIC,11,2,71,전문 서비스업,71,전문 서비스업
KSIC,11,2,72,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",72,"건축기술, 엔지니어링 및 기타 과학기술 서비스업"
KSIC,11,2,73,"기타 전문, 과학 및 기술 서비스업",73,"기타 전문, 과학 및 기술 서비스업"
KSIC,11,2,74,사업시설 관리 및 조경 서비스업,74,사업시설 관리 및 조경 서비스업
KSIC,11,2,75,사업지원 서비스업,75,사업지원 서비스업
KSIC,11,2,76,임대업; 부동산 제외,76,임대업; 부동산 제외
KSIC,11,2,84,"공공행정, 국방 및 사회보장 행정",65,보험 및 연금업
KSIC,11,2,84,"공공행정, 국방 및 사회보장 행정",84,"공공행정, 국방 및 사회보장 행정"
KSIC,11,2,85,교육 서비스업,85,교육 서비스업
KSIC,11,2,86,보건업,86,보건업
KSIC,11,2,87,사회복지 서비스업,87,사회복지 서비스업
KSIC,11,2,90,"창작, 예술 및 여가관련 서비스업",90,"창작, 예술 및 여가관련 서비스업"
KSIC,11,2,91,스포츠 및 오락관련 서비스업,91,스포츠 및 오락관련 서비스업
KSIC,11,2,94,협회 및 단체,94,협회 및 단체
KSIC,11,2,95,개인 및 소비용품 수리업,95,개인 및 소비용품 수리업
KSIC,11,2,96,기타 개인 서비스업,96,기타 개인 서비스업
KSIC,11,2,97,가구 내 고용활동,97,가구 내 고용활동
